x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.16,1910-11-16 00:00:00,ON,1910,11,16,-0.6,,-3.9,,2.8,,0,T,0,,0,T,,,,,,,0,,18.6,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.17,1910-11-17 00:00:00,ON,1910,11,17,2,,-1.7,,5.6,,0,,0,,0,,,,,,,,0,,16,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.18,1910-11-18 00:00:00,ON,1910,11,18,2,,-1.7,,5.6,,0,T,0,,0,T,,,,,,,0,,16,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.19,1910-11-19 00:00:00,ON,1910,11,19,-1.4,,-3.3,,0.6,,0,,0,,0,,,,,,,,0,,19.4,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.20,1910-11-20 00:00:00,ON,1910,11,20,-0.9,,-2.8,,1.1,,0,,0,,0,,,,,,,,0,,18.9,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.21,1910-11-21 00:00:00,ON,1910,11,21,0.8,,-1.7,,3.3,,1,,1,,0,,,,,,,,0,,17.2,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.22,1910-11-22 00:00:00,ON,1910,11,22,3.4,,-1.1,,7.8,,0,,0,,0,,,,,,,,0,,14.6,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.23,1910-11-23 00:00:00,ON,1910,11,23,2.5,,-0.6,,5.6,,2,,2,,0,,,,,,,,0,,15.5,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.24,1910-11-24 00:00:00,ON,1910,11,24,3.4,,1.7,,5,,0,T,0,T,0,,,,,,,,0,,14.6,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.25,1910-11-25 00:00:00,ON,1910,11,25,3.1,,0.6,,5.6,,1.3,,1.3,,0,,,,,,,,0,,14.9,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.26,1910-11-26 00:00:00,ON,1910,11,26,0.3,,-2.8,,3.3,,0,,0,,0,,,,,,,,0,,17.7,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.27,1910-11-27 00:00:00,ON,1910,11,27,0,,-1.7,,1.7,,0,,0,,0,,,,,,,,0,,18,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.28,1910-11-28 00:00:00,ON,1910,11,28,0.8,,-0.6,,2.2,,13.5,,13.5,,0,T,,,,,,,0,,17.2,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.29,1910-11-29 00:00:00,ON,1910,11,29,-0.3,,-1.7,,1.1,,5.3,,5.3,,0,T,,,,,,,0,,18.3,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.11.30,1910-11-30 00:00:00,ON,1910,11,30,0.3,,-2.2,,2.8,,0,T,0,,0,T,,,,,,,0,,17.7,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.12.1,1910-12-01 00:00:00,ON,1910,12,1,-3.3,,-7.2,,0.6,,0,,0,,0,,,,,,,,0,,21.3,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.12.2,1910-12-02 00:00:00,ON,1910,12,2,-6.4,,-10,,-2.8,,0,,0,,0,,,,,,,,0,,24.4,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.12.3,1910-12-03 00:00:00,ON,1910,12,3,-2.5,,-5,,0,,0,,0,,0,,,,,,,,0,,20.5,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.12.4,1910-12-04 00:00:00,ON,1910,12,4,-8.3,,-14.4,,-2.2,,0,,0,,0,,,,,,,,0,,26.3,,,,,
-79.21666666666667,43.71666666666667,SCARBOROUGH JUNCTION,6157625,6157625.1910.12.5,1910-12-05 00:00:00,ON,1910,12,5,-11.2,,-15.6,,-6.7,,0,,0,,0,,,,,,,,0,,29.2,,,,,
