Ensembl Gene Record	Common Gene Name	Read Count	Log Count	Dist
ENSG00000000460.16	C1orf112	307	5.726847747587197	17
ENSG00000000938.12	FGR	41	3.713572066704308	11
ENSG00000000971.15	CFH	20	2.995732273553991	9
ENSG00000001460.17	STPG1	191	5.25227342804663	16
ENSG00000001626.15	CFTR	94	4.543294782270004	14
ENSG00000001630.16	CYP51A1	129	4.859812404361672	15
ENSG00000002016.17	RAD52	223	5.407171771460119	16
ENSG00000002587.9	HS3ST1	23	3.1354942159291497	9
ENSG00000002745.12	WNT16	4	1.3862943611198906	4
ENSG00000002746.14	HECW1	105	4.653960350157523	14
ENSG00000003096.14	KLHL13	28	3.332204510175204	10
ENSG00000003137.8	CYP26B1	55	4.007333185232471	12
ENSG00000003436.15	TFPI	6	1.791759469228055	5
ENSG00000003987.13	MTMR7	12	2.4849066497880004	7
ENSG00000003989.17	SLC7A2	10	2.302585092994046	7
ENSG00000004468.12	CD38	13	2.5649493574615367	8
ENSG00000004838.13	ZMYND10	43	3.7612001156935624	11
ENSG00000004846.16	ABCB5	46	3.828641396489095	11
ENSG00000005102.12	MEOX1	137	4.919980925828125	15
ENSG00000005187.11	ACSM3	155	5.043425116919247	15
ENSG00000005189.19	REXO5	101	4.61512051684126	14
ENSG00000005238.19	FAM214B	214	5.365976015021851	16
ENSG00000005243.9	COPZ2	77	4.343805421853684	13
ENSG00000005381.7	MPO	39	3.6635616461296463	11
ENSG00000005469.11	CROT	278	5.627621113690637	17
ENSG00000005844.17	ITGAL	43	3.7612001156935624	11
ENSG00000005961.18	ITGA2B	92	4.5217885770490405	14
ENSG00000006016.10	CRLF1	26	3.258096538021482	10
ENSG00000006128.11	TAC1	10	2.302585092994046	7
ENSG00000006283.17	CACNA1G	10	2.302585092994046	7
ENSG00000006611.15	USH1C	32	3.4657359027997265	10
ENSG00000006634.7	DBF4	286	5.655991810819852	17
ENSG00000006638.11	TBXA2R	7	1.9459101490553132	6
ENSG00000006659.12	LGALS14	14	2.6390573296152584	8
ENSG00000006747.14	SCIN	17	2.833213344056216	8
ENSG00000006837.11	CDKL3	12	2.4849066497880004	7
ENSG00000007062.11	PROM1	42	3.7376696182833684	11
ENSG00000007174.17	DNAH9	41	3.713572066704308	11
