Ensembl Gene Record	Common Gene Name	Read Count	Log Count	Dist
ENSG00000253930.1	TNFRSF10A-AS1	5	1.6094379124341003	5
ENSG00000253944.1	AC027117.2	6	1.791759469228055	5
ENSG00000253948.1	AC104986.2	6	1.791759469228055	5
ENSG00000253973.2	AC079296.1	6	1.791759469228055	5
ENSG00000253982.1	AC100810.1	12	2.4849066497880004	8
ENSG00000254035.1	AC104117.3	4	1.3862943611198906	4
ENSG00000254093.8	PINX1	153	5.030437921392435	16
ENSG00000254109.5	RBPMS-AS1	9	2.1972245773362196	7
ENSG00000254122.2	PCDHGB7	6	1.791759469228055	5
ENSG00000254154.8	CRYZL2P-SEC16B	12	2.4849066497880004	8
ENSG00000254165.1	AC090739.1	15	2.70805020110221	8
ENSG00000254166.2	CASC19	6	1.791759469228055	5
ENSG00000254206.5	NPIPB11	60	4.0943445622221	13
ENSG00000254221.2	PCDHGB1	132	4.882801922586371	15
ENSG00000254230.1	AC037459.4	9	2.1972245773362196	7
ENSG00000254231.2	AC103760.1	9	2.1972245773362196	7
ENSG00000254285.3	KRT8P3	63	4.143134726391533	13
ENSG00000254307.2	AP003692.1	12	2.4849066497880004	8
ENSG00000254349.5	MIR2052HG	5	1.6094379124341003	5
ENSG00000254363.6	AC011379.2	18	2.8903717578961645	9
ENSG00000254389.3	RHPN1-AS1	41	3.713572066704308	11
ENSG00000254400.1	AC091564.2	6	1.791759469228055	5
ENSG00000254402.6	LRRC24	34	3.5263605246161616	11
ENSG00000254413.8	CHKB-CPT1B	37	3.6109179126442243	11
ENSG00000254415.3	SIGLEC14	8	2.0794415416798357	6
ENSG00000254422.1	AP000942.2	5	1.6094379124341003	5
ENSG00000254438.1	AC022240.1	6	1.791759469228055	5
ENSG00000254452.1	AP001107.2	12	2.4849066497880004	8
ENSG00000254469.7	AP002495.1	12	2.4849066497880004	8
ENSG00000254473.1	AL354920.1	29	3.367295829986474	10
ENSG00000254477.2	AP000640.1	6	1.791759469228055	5
ENSG00000254485.5	AC026191.1	9	2.1972245773362196	7
ENSG00000254501.1	AP003068.1	23	3.1354942159291497	10
ENSG00000254505.9	CHMP4A	79	4.3694478524670215	14
ENSG00000254528.7	AP000757.1	4	1.3862943611198906	4
ENSG00000254531.1	FLJ20021	8	2.0794415416798357	6
ENSG00000254533.1	AF186192.1	4	1.3862943611198906	4
ENSG00000254535.3	PABPC4L	13	2.5649493574615367	8
ENSG00000254560.5	BBOX1-AS1	41	3.713572066704308	11
ENSG00000254585.3	MAGEL2	9	2.1972245773362196	7
ENSG00000254598.2	CSNK2A3	34	3.5263605246161616	11
ENSG00000254602.1	AP000662.1	53	3.970291913552122	12
ENSG00000254612.2	AP001000.1	11	2.3978952727983707	7
ENSG00000254614.2	AP003068.2	48	3.871201010907891	12
ENSG00000254615.2	AC027031.2	35	3.5553480614894135	11
ENSG00000254634.4	SMG1P6	14	2.6390573296152584	8
ENSG00000254665.1	AC091053.1	8	2.0794415416798357	6
ENSG00000254676.1	AP000873.4	4	1.3862943611198906	4
ENSG00000254680.1	AC079329.1	16	2.772588722239781	8
ENSG00000254681.6	PKD1P5	124	4.820281565605037	15
ENSG00000254682.1	AP002387.1	8	2.0794415416798357	6
ENSG00000254685.6	FPGT	108	4.68213122712422	15
ENSG00000254721.1	AP000879.1	36	3.58351893845611	11
ENSG00000254739.1	AC137894.1	14	2.6390573296152584	8
ENSG00000254772.9	EEF1G	15	2.70805020110221	8
ENSG00000254783.1	AP003084.1	6	1.791759469228055	5
ENSG00000254788.7	CKLF-CMTM1	12	2.4849066497880004	8
ENSG00000254806.5	SYS1-DBNDD2	9	2.1972245773362196	7
ENSG00000254827.5	SLC22A18AS	23	3.1354942159291497	10
ENSG00000254837.2	AP001372.2	68	4.219507705176107	13
ENSG00000254838.5	GVINP1	7	1.9459101490553132	6
ENSG00000254858.9	MPV17L2	194	5.267858159063328	16
ENSG00000254860.5	TMEM9B-AS1	9	2.1972245773362196	7
ENSG00000254872.3	AC139749.1	4	1.3862943611198906	4
ENSG00000254873.1	AP001267.1	29	3.367295829986474	10
ENSG00000254876.5	SUGT1P4-STRA6LP	22	3.091042453358316	9
ENSG00000254893.6	AC113404.3	4	1.3862943611198906	4
ENSG00000254894.1	NAV2-AS1	8	2.0794415416798357	6
ENSG00000254929.6	AL591684.2	4	1.3862943611198906	4
ENSG00000254966.1	AC103974.1	5	1.6094379124341003	5
ENSG00000254973.1	AC105219.3	5	1.6094379124341003	5
ENSG00000254995.4	STX16-NPEPL1	44	3.784189633918261	12
ENSG00000254996.5	ANKHD1-EIF4EBP3	37	3.6109179126442243	11
ENSG00000254997.3	KRTAP5-9	10	2.302585092994046	7
ENSG00000255026.1	AC136475.3	180	5.19295685089021	16
ENSG00000255031.5	AP002807.1	24	3.1780538303479458	10
ENSG00000255036.6	STRA6LP	5	1.6094379124341003	5
ENSG00000255046.1	AC069185.1	8	2.0794415416798357	6
ENSG00000255050.1	AC067930.5	33	3.4965075614664802	11
ENSG00000255071.3	SAA2-SAA4	10	2.302585092994046	7
ENSG00000255085.8	AF186192.2	27	3.295836866004329	10
ENSG00000255108.1	AP006621.1	4	1.3862943611198906	4
ENSG00000255114.1	AP003392.3	27	3.295836866004329	10
ENSG00000255121.2	AP003392.4	12	2.4849066497880004	8
ENSG00000255135.3	AP002360.1	28	3.332204510175204	10
ENSG00000255150.2	EID3	21	3.044522437723423	9
ENSG00000255152.8	MSH5-SAPCD1	43	3.7612001156935624	12
ENSG00000255153.1	TOLLIP-AS1	20	2.995732273553991	9
ENSG00000255182.2	AC084125.2	131	4.875197323201151	15
ENSG00000255198.4	SNHG9	14	2.6390573296152584	8
ENSG00000255200.1	PGAM1P8	34	3.5263605246161616	11
ENSG00000255224.1	AC109322.1	21	3.044522437723423	9
ENSG00000255248.8	MIR100HG	90	4.499809670330265	14
ENSG00000255274.9	SMIM35	4	1.3862943611198906	4
ENSG00000255284.1	AP006621.3	20	2.995732273553991	9
ENSG00000255310.2	AF131215.5	100	4.605170185988092	14
ENSG00000255337.1	AP001830.1	10	2.302585092994046	7
ENSG00000255366.1	AC120036.4	5	1.6094379124341003	5
ENSG00000255367.3	AC127526.2	5	1.6094379124341003	5
ENSG00000255389.1	Z97989.1	18	2.8903717578961645	9
ENSG00000255398.2	HCAR3	28	3.332204510175204	10
ENSG00000255404.1	AP001266.1	8	2.0794415416798357	6
ENSG00000255408.3	PCDHA3	54	3.9889840465642745	12
ENSG00000255423.1	EBLN2	13	2.5649493574615367	8
ENSG00000255455.2	AP003486.1	118	4.770684624465665	15
ENSG00000255458.5	AC108471.2	5	1.6094379124341003	5
ENSG00000255468.7	AP001107.9	6	1.791759469228055	5
ENSG00000255495.1	AC145124.1	32	3.4657359027997265	11
ENSG00000255498.1	AC068385.1	33	3.4965075614664802	11
ENSG00000255501.2	CARD18	27	3.295836866004329	10
ENSG00000255508.7	AP002990.1	8	2.0794415416798357	6
ENSG00000255517.6	AP002748.3	14	2.6390573296152584	8
ENSG00000255559.1	ZNF252P-AS1	70	4.248495242049359	13
ENSG00000255561.6	FDXACB1	55	4.007333185232471	12
ENSG00000255568.3	BRWD1-AS2	7	1.9459101490553132	6
ENSG00000255571.8	MIR9-3HG	179	5.187385805840755	16
ENSG00000255585.3	AL590627.1	5	1.6094379124341003	5
ENSG00000255595.3	AC007368.1	16	2.772588722239781	8
ENSG00000255624.3	AC073585.1	52	3.9512437185814275	12
ENSG00000255642.1	PABPC1P4	5	1.6094379124341003	5
ENSG00000255690.2	TRIL	64	4.1588830833596715	13
ENSG00000255737.2	AGAP2-AS1	11	2.3978952727983707	7
ENSG00000255750.5	AC022509.1	10	2.302585092994046	7
ENSG00000255769.7	GOLGA2P10	117	4.762173934797756	15
ENSG00000255794.7	RMST	7	1.9459101490553132	6
ENSG00000255823.4	MTRNR2L8	40	3.6888794541139363	11
ENSG00000255833.1	TIFAB	28	3.332204510175204	10
ENSG00000255836.1	AC131206.1	40	3.6888794541139363	11
ENSG00000255837.1	TAS2R20	13	2.5649493574615367	8
ENSG00000255856.2	AC069503.1	18	2.8903717578961645	9
ENSG00000255857.5	PXN-AS1	245	5.501258210544727	17
ENSG00000255949.1	RPS6KB2-AS1	12	2.4849066497880004	8
ENSG00000255983.1	AC007848.1	8	2.0794415416798357	6
ENSG00000256007.1	ARAP1-AS1	8	2.0794415416798357	6
ENSG00000256028.2	AC026362.1	63	4.143134726391533	13
ENSG00000256029.6	SNHG28	76	4.330733340286331	13
ENSG00000256034.1	AP002770.1	7	1.9459101490553132	6
ENSG00000256043.2	CTSO	91	4.51085950651685	14
ENSG00000256053.7	APOPT1	209	5.342334251964811	17
ENSG00000256060.2	TRAPPC2B	69	4.23410650459726	13
ENSG00000256061.7	DNAAF4	13	2.5649493574615367	8
ENSG00000256073.3	URB1-AS1	62	4.127134385045092	13
ENSG00000256087.6	ZNF432	230	5.438079308923196	17
ENSG00000256092.2	AC137767.1	11	2.3978952727983707	7
ENSG00000256116.1	AP001453.1	14	2.6390573296152584	8
ENSG00000256152.2	AC027290.1	35	3.5553480614894135	11
ENSG00000256167.1	ATF4P4	5	1.6094379124341003	5
ENSG00000256196.1	AP003721.1	4	1.3862943611198906	4
ENSG00000256229.7	ZNF486	18	2.8903717578961645	9
ENSG00000256234.1	AC022509.2	7	1.9459101490553132	6
ENSG00000256235.2	SMIM3	103	4.634728988229636	14
ENSG00000256238.1	SUPT16HP1	6	1.791759469228055	5
ENSG00000256271.1	CACNA1C-AS2	10	2.302585092994046	7
ENSG00000256294.7	ZNF225	43	3.7612001156935624	12
ENSG00000256312.1	AC138466.1	4	1.3862943611198906	4
