Ensembl Gene Record	Common Gene Name	Read Count	Log Count	Dist
ENSG00000000457.13	SCYL3	178	5.181783550292085	16
ENSG00000001460.17	STPG1	125	4.8283137373023015	15
ENSG00000001626.15	CFTR	23	3.1354942159291497	10
ENSG00000002587.9	HS3ST1	6	1.791759469228055	5
ENSG00000002726.20	AOC1	155	5.043425116919247	16
ENSG00000002746.14	HECW1	22	3.091042453358316	9
ENSG00000002933.8	TMEM176A	40	3.6888794541139363	11
ENSG00000003096.14	KLHL13	19	2.9444389791664403	9
ENSG00000003137.8	CYP26B1	10	2.302585092994046	7
ENSG00000003249.13	DBNDD1	179	5.187385805840755	16
ENSG00000003436.15	TFPI	11	2.3978952727983707	7
ENSG00000003987.13	MTMR7	34	3.5263605246161616	11
ENSG00000004139.13	SARM1	94	4.543294782270004	14
ENSG00000004468.12	CD38	10	2.302585092994046	7
ENSG00000004660.14	CAMKK1	41	3.713572066704308	11
ENSG00000004776.12	HSPB6	66	4.189654742026425	13
ENSG00000004799.7	PDK4	14	2.6390573296152584	8
ENSG00000004838.13	ZMYND10	46	3.828641396489095	12
ENSG00000004846.16	ABCB5	8	2.0794415416798357	6
ENSG00000005059.15	MCUB	120	4.787491742782046	15
ENSG00000005102.12	MEOX1	193	5.262690188904886	16
ENSG00000005108.15	THSD7A	5	1.6094379124341003	5
ENSG00000005187.11	ACSM3	35	3.5553480614894135	11
ENSG00000005189.19	REXO5	142	4.955827057601261	15
ENSG00000005243.9	COPZ2	35	3.5553480614894135	11
ENSG00000005379.16	TSPOAP1	173	5.153291594497779	16
ENSG00000005844.17	ITGAL	38	3.6375861597263857	11
ENSG00000005961.18	ITGA2B	23	3.1354942159291497	10
ENSG00000006016.10	CRLF1	4	1.3862943611198906	4
ENSG00000006042.11	TMEM98	24	3.1780538303479458	10
ENSG00000006047.12	YBX2	150	5.0106352940962555	16
ENSG00000006062.15	MAP3K14	153	5.030437921392435	16
ENSG00000006534.15	ALDH3B1	152	5.0238805208462765	16
ENSG00000006659.12	LGALS14	4	1.3862943611198906	4
ENSG00000006747.14	SCIN	4	1.3862943611198906	4
ENSG00000006757.11	PNPLA4	75	4.31748811353631	13
ENSG00000006837.11	CDKL3	7	1.9459101490553132	6
ENSG00000007062.11	PROM1	171	5.14166355650266	16
ENSG00000007237.18	GAS7	113	4.727387818712341	15
ENSG00000007255.10	TRAPPC6A	84	4.430816798843313	14
ENSG00000007341.18	ST7L	181	5.198497031265826	16
ENSG00000007372.22	PAX6	29	3.367295829986474	10
ENSG00000007402.11	CACNA2D2	23	3.1354942159291497	10
ENSG00000008086.11	CDKL5	135	4.90527477843843	15
ENSG00000008226.19	DLEC1	52	3.9512437185814275	12
ENSG00000008277.14	ADAM22	97	4.574710978503383	14
ENSG00000008300.16	CELSR3	170	5.135798437050262	16
ENSG00000008311.14	AASS	7	1.9459101490553132	6
ENSG00000008323.15	PLEKHG6	88	4.477336814478207	14
ENSG00000008382.15	MPND	164	5.099866427824199	16
ENSG00000008516.16	MMP25	9	2.1972245773362196	7
ENSG00000008517.16	IL32	10	2.302585092994046	7
ENSG00000008735.13	MAPK8IP2	24	3.1780538303479458	10
ENSG00000009694.13	TENM1	9	2.1972245773362196	7
ENSG00000009724.16	MASP2	15	2.70805020110221	8
ENSG00000009790.14	TRAF3IP3	6	1.791759469228055	5
ENSG00000009950.15	MLXIPL	51	3.9318256327243257	12
ENSG00000010030.13	ETV7	22	3.091042453358316	9
ENSG00000010219.13	DYRK4	33	3.4965075614664802	11
ENSG00000010295.19	IFFO1	9	2.1972245773362196	7
ENSG00000010310.8	GIPR	12	2.4849066497880004	8
ENSG00000010318.20	PHF7	47	3.8501476017100584	12
ENSG00000010319.6	SEMA3G	13	2.5649493574615367	8
ENSG00000010327.10	STAB1	131	4.875197323201151	15
ENSG00000010361.13	FUZ	186	5.225746673713202	16
ENSG00000010379.15	SLC6A13	7	1.9459101490553132	6
ENSG00000010539.11	ZNF200	141	4.948759890378168	15
ENSG00000010610.9	CD4	31	3.4339872044851463	11
ENSG00000010626.14	LRRC23	80	4.382026634673881	14
ENSG00000010671.15	BTK	5	1.6094379124341003	5
ENSG00000011052.21	NME1-NME2	19	2.9444389791664403	9
ENSG00000011132.11	APBA3	146	4.983606621708336	16
ENSG00000011201.11	ANOS1	148	4.997212273764115	16
ENSG00000011332.19	DPF1	87	4.465908118654584	14
ENSG00000011347.9	SYT7	8	2.0794415416798357	6
ENSG00000011478.11	QPCTL	151	5.017279836814924	16
