Ensembl Gene Record	Common Gene Name	Read Count	Log Count	Dist
ENSG00000000457.13	SCYL3	196	5.278114659230517	16
ENSG00000000938.12	FGR	15	2.70805020110221	8
ENSG00000000971.15	CFH	41	3.713572066704308	11
ENSG00000001460.17	STPG1	182	5.204006687076795	16
ENSG00000001626.15	CFTR	24	3.1780538303479458	9
ENSG00000002079.14	MYH16	65	4.174387269895637	13
ENSG00000002587.9	HS3ST1	101	4.61512051684126	14
ENSG00000002746.14	HECW1	51	3.9318256327243257	12
ENSG00000003096.14	KLHL13	37	3.6109179126442243	11
ENSG00000003137.8	CYP26B1	78	4.356708826689592	13
ENSG00000003436.15	TFPI	7	1.9459101490553132	6
ENSG00000003987.13	MTMR7	10	2.302585092994046	7
ENSG00000003989.17	SLC7A2	33	3.4965075614664802	10
ENSG00000004139.13	SARM1	223	5.407171771460119	16
ENSG00000004468.12	CD38	35	3.5553480614894135	11
ENSG00000004660.14	CAMKK1	107	4.672828834461906	14
ENSG00000004799.7	PDK4	82	4.406719247264253	13
ENSG00000004838.13	ZMYND10	47	3.8501476017100584	12
ENSG00000004939.14	SLC4A1	4	1.3862943611198906	4
ENSG00000004948.14	CALCR	6	1.791759469228055	5
ENSG00000005108.15	THSD7A	27	3.295836866004329	10
ENSG00000005187.11	ACSM3	67	4.204692619390966	13
ENSG00000005189.19	REXO5	83	4.418840607796598	13
ENSG00000005243.9	COPZ2	34	3.5263605246161616	11
ENSG00000005379.16	TSPOAP1	225	5.41610040220442	16
ENSG00000005381.7	MPO	60	4.0943445622221	12
ENSG00000005448.16	WDR54	125	4.8283137373023015	15
ENSG00000005469.11	CROT	138	4.927253685157205	15
ENSG00000005513.9	SOX8	6	1.791759469228055	5
ENSG00000005844.17	ITGAL	53	3.970291913552122	12
ENSG00000005961.18	ITGA2B	157	5.056245805348308	15
ENSG00000006016.10	CRLF1	9	2.1972245773362196	6
ENSG00000006071.13	ABCC8	4	1.3862943611198906	4
ENSG00000006128.11	TAC1	4	1.3862943611198906	4
ENSG00000006283.17	CACNA1G	31	3.4339872044851463	10
ENSG00000006606.8	CCL26	6	1.791759469228055	5
ENSG00000006611.15	USH1C	100	4.605170185988092	14
ENSG00000006638.11	TBXA2R	7	1.9459101490553132	6
ENSG00000006747.14	SCIN	15	2.70805020110221	8
ENSG00000006757.11	PNPLA4	209	5.342334251964811	16
ENSG00000006837.11	CDKL3	15	2.70805020110221	8
ENSG00000007062.11	PROM1	70	4.248495242049359	13
ENSG00000007171.17	NOS2	9	2.1972245773362196	6
ENSG00000007174.17	DNAH9	5	1.6094379124341003	5
ENSG00000007255.10	TRAPPC6A	170	5.135798437050262	16
ENSG00000007264.14	MATK	5	1.6094379124341003	5
ENSG00000007312.12	CD79B	13	2.5649493574615367	8
ENSG00000007314.12	SCN4A	81	4.394449154672439	13
ENSG00000007341.18	ST7L	136	4.912654885736052	15
ENSG00000007372.22	PAX6	5	1.6094379124341003	5
ENSG00000007402.11	CACNA2D2	101	4.61512051684126	14
ENSG00000007933.12	FMO3	4	1.3862943611198906	4
ENSG00000008056.13	SYN1	120	4.787491742782046	15
ENSG00000008086.11	CDKL5	202	5.308267697401205	16
ENSG00000008226.19	DLEC1	16	2.772588722239781	8
ENSG00000008277.14	ADAM22	4	1.3862943611198906	4
ENSG00000008311.14	AASS	18	2.8903717578961645	9
ENSG00000008324.11	SS18L2	188	5.236441962829949	16
ENSG00000008516.16	MMP25	27	3.295836866004329	10
ENSG00000009790.14	TRAF3IP3	6	1.791759469228055	5
ENSG00000010030.13	ETV7	29	3.367295829986474	10
ENSG00000010295.19	IFFO1	25	3.2188758248682006	10
ENSG00000010310.8	GIPR	63	4.143134726391533	12
ENSG00000010318.20	PHF7	75	4.31748811353631	13
ENSG00000010319.6	SEMA3G	21	3.044522437723423	9
ENSG00000010379.15	SLC6A13	5	1.6094379124341003	5
ENSG00000010671.15	BTK	29	3.367295829986474	10
ENSG00000011052.21	NME1-NME2	76	4.330733340286331	13
ENSG00000011201.11	ANOS1	85	4.442651256490317	13
ENSG00000011332.19	DPF1	89	4.48863636973214	14
ENSG00000011465.16	DCN	4	1.3862943611198906	4
ENSG00000011600.11	TYROBP	97	4.574710978503383	14
ENSG00000011677.12	GABRA3	20	2.995732273553991	9
ENSG00000012223.12	LTF	5	1.6094379124341003	5
ENSG00000013016.15	EHD3	224	5.4116460518550396	16
ENSG00000013293.5	SLC7A14	5	1.6094379124341003	5
ENSG00000013392.7	RWDD2A	102	4.624972813284271	14
ENSG00000013619.13	MAMLD1	170	5.135798437050262	16
