Ensembl Gene Record	Common Gene Name	Read Count	Log Count	Dist
ENSG00000000457.13	SCYL3	182	5.204006687076795	17
ENSG00000000460.16	C1orf112	84	4.430816798843313	15
ENSG00000000938.12	FGR	31	3.4339872044851463	11
ENSG00000000971.15	CFH	124	4.820281565605037	16
ENSG00000001460.17	STPG1	115	4.74493212836325	16
ENSG00000001626.15	CFTR	31	3.4339872044851463	11
ENSG00000001630.16	CYP51A1	156	5.049856007249537	17
ENSG00000002587.9	HS3ST1	15	2.70805020110221	9
ENSG00000002746.14	HECW1	34	3.5263605246161616	12
ENSG00000003137.8	CYP26B1	62	4.127134385045092	14
ENSG00000003436.15	TFPI	10	2.302585092994046	7
ENSG00000003987.13	MTMR7	21	3.044522437723423	10
ENSG00000003989.17	SLC7A2	102	4.624972813284271	15
ENSG00000004468.12	CD38	9	2.1972245773362196	7
ENSG00000004660.14	CAMKK1	122	4.804021044733257	16
ENSG00000004776.12	HSPB6	101	4.61512051684126	15
ENSG00000004838.13	ZMYND10	25	3.2188758248682006	11
ENSG00000004846.16	ABCB5	8	2.0794415416798357	7
ENSG00000005059.15	MCUB	75	4.31748811353631	14
ENSG00000005108.15	THSD7A	29	3.367295829986474	11
ENSG00000005187.11	ACSM3	64	4.1588830833596715	14
ENSG00000005189.19	REXO5	33	3.4965075614664802	11
ENSG00000005243.9	COPZ2	53	3.970291913552122	13
ENSG00000005844.17	ITGAL	70	4.248495242049359	14
ENSG00000005961.18	ITGA2B	24	3.1780538303479458	10
ENSG00000006016.10	CRLF1	13	2.5649493574615367	8
ENSG00000006042.11	TMEM98	9	2.1972245773362196	7
ENSG00000006047.12	YBX2	52	3.9512437185814275	13
ENSG00000006062.15	MAP3K14	184	5.214935757608986	17
ENSG00000006128.11	TAC1	7	1.9459101490553132	6
ENSG00000006210.6	CX3CL1	82	4.406719247264253	15
ENSG00000006468.13	ETV1	6	1.791759469228055	6
ENSG00000006606.8	CCL26	8	2.0794415416798357	7
ENSG00000006611.15	USH1C	4	1.3862943611198906	4
ENSG00000006747.14	SCIN	13	2.5649493574615367	8
ENSG00000006757.11	PNPLA4	81	4.394449154672439	15
ENSG00000006837.11	CDKL3	10	2.302585092994046	7
ENSG00000007237.18	GAS7	78	4.356708826689592	14
ENSG00000007255.10	TRAPPC6A	95	4.553876891600541	15
ENSG00000007341.18	ST7L	148	4.997212273764115	17
ENSG00000007372.22	PAX6	19	2.9444389791664403	10
ENSG00000007402.11	CACNA2D2	27	3.295836866004329	11
ENSG00000007968.6	E2F2	75	4.31748811353631	14
ENSG00000008086.11	CDKL5	78	4.356708826689592	14
ENSG00000008226.19	DLEC1	47	3.8501476017100584	13
ENSG00000008277.14	ADAM22	55	4.007333185232471	13
ENSG00000008311.14	AASS	5	1.6094379124341003	5
ENSG00000008323.15	PLEKHG6	122	4.804021044733257	16
ENSG00000008382.15	MPND	179	5.187385805840755	17
ENSG00000008516.16	MMP25	5	1.6094379124341003	5
ENSG00000008517.16	IL32	26	3.258096538021482	11
ENSG00000008735.13	MAPK8IP2	32	3.4657359027997265	11
ENSG00000009694.13	TENM1	20	2.995732273553991	10
ENSG00000009724.16	MASP2	23	3.1354942159291497	10
ENSG00000009790.14	TRAF3IP3	14	2.6390573296152584	9
ENSG00000009950.15	MLXIPL	128	4.852030263919617	16
ENSG00000010030.13	ETV7	7	1.9459101490553132	6
ENSG00000010219.13	DYRK4	47	3.8501476017100584	13
ENSG00000010295.19	IFFO1	15	2.70805020110221	9
ENSG00000010310.8	GIPR	30	3.4011973816621555	11
ENSG00000010318.20	PHF7	27	3.295836866004329	11
ENSG00000010319.6	SEMA3G	6	1.791759469228055	6
ENSG00000010361.13	FUZ	167	5.117993812416755	17
ENSG00000010379.15	SLC6A13	17	2.833213344056216	9
ENSG00000010539.11	ZNF200	98	4.584967478670572	15
ENSG00000010610.9	CD4	109	4.6913478822291435	16
ENSG00000010626.14	LRRC23	86	4.454347296253507	15
ENSG00000010671.15	BTK	15	2.70805020110221	9
ENSG00000011052.21	NME1-NME2	10	2.302585092994046	7
ENSG00000011132.11	APBA3	172	5.147494476813453	17
ENSG00000011201.11	ANOS1	87	4.465908118654584	15
ENSG00000011332.19	DPF1	38	3.6375861597263857	12
ENSG00000011347.9	SYT7	75	4.31748811353631	14
ENSG00000011465.16	DCN	37	3.6109179126442243	12
ENSG00000011478.11	QPCTL	138	4.927253685157205	16
ENSG00000011638.10	TMEM159	115	4.74493212836325	16
ENSG00000011677.12	GABRA3	32	3.4657359027997265	11
ENSG00000012048.21	BRCA1	81	4.394449154672439	15
ENSG00000012124.16	CD22	84	4.430816798843313	15
ENSG00000012174.11	MBTPS2	186	5.225746673713202	17
ENSG00000012211.12	PRICKLE3	158	5.062595033026967	17
ENSG00000012223.12	LTF	11	2.3978952727983707	8
ENSG00000012779.10	ALOX5	169	5.1298987149230735	17
ENSG00000013016.15	EHD3	182	5.204006687076795	17
ENSG00000013297.11	CLDN11	13	2.5649493574615367	8
ENSG00000013392.7	RWDD2A	74	4.30406509320417	14
ENSG00000014138.8	POLA2	65	4.174387269895637	14
ENSG00000014257.15	ACPP	17	2.833213344056216	9
ENSG00000015153.14	YAF2	151	5.017279836814924	17
ENSG00000015285.10	WAS	17	2.833213344056216	9
ENSG00000015520.14	NPC1L1	5	1.6094379124341003	5
ENSG00000015568.12	RGPD5	5	1.6094379124341003	5
ENSG00000016082.14	ISL1	6	1.791759469228055	6
ENSG00000016391.10	CHDH	99	4.59511985013459	15
ENSG00000016402.13	IL20RA	12	2.4849066497880004	8
ENSG00000017427.16	IGF1	21	3.044522437723423	10
ENSG00000018236.14	CNTN1	9	2.1972245773362196	7
ENSG00000018869.16	ZNF582	36	3.58351893845611	12
ENSG00000019102.11	VSIG2	151	5.017279836814924	17
ENSG00000019186.9	CYP24A1	18	2.8903717578961645	9
ENSG00000019505.7	SYT13	93	4.532599493153256	15
ENSG00000019549.11	SNAI2	7	1.9459101490553132	6
ENSG00000019991.16	HGF	6	1.791759469228055	6
ENSG00000020181.17	ADGRA2	14	2.6390573296152584	9
ENSG00000021461.16	CYP3A43	6	1.791759469228055	6
ENSG00000021645.18	NRXN3	184	5.214935757608986	17
ENSG00000021762.19	OSBPL5	90	4.499809670330265	15
ENSG00000021826.15	CPS1	12	2.4849066497880004	8
ENSG00000022556.15	NLRP2	5	1.6094379124341003	5
ENSG00000022976.15	ZNF839	134	4.897839799950911	16
ENSG00000023171.17	GRAMD1B	20	2.995732273553991	10
ENSG00000023445.13	BIRC3	155	5.043425116919247	17
ENSG00000023697.12	DERA	190	5.247024072160486	17
ENSG00000023839.11	ABCC2	16	2.772588722239781	9
ENSG00000023892.10	DEF6	156	5.049856007249537	17
ENSG00000023902.13	PLEKHO1	81	4.394449154672439	15
ENSG00000025156.12	HSF2	125	4.8283137373023015	16
ENSG00000025423.11	HSD17B6	6	1.791759469228055	6
ENSG00000025434.18	NR1H3	122	4.804021044733257	16
ENSG00000026036.22	RTEL1-TNFRSF6B	139	4.9344739331306915	16
ENSG00000026559.13	KCNG1	36	3.58351893845611	12
ENSG00000026652.13	AGPAT4	76	4.330733340286331	14
ENSG00000026751.16	SLAMF7	10	2.302585092994046	7
ENSG00000027001.9	MIPEP	178	5.181783550292085	17
ENSG00000027075.14	PRKCH	85	4.442651256490317	15
ENSG00000027869.11	SH2D2A	49	3.8918202981106265	13
ENSG00000028137.18	TNFRSF1B	174	5.159055299214529	17
ENSG00000028277.21	POU2F2	18	2.8903717578961645	9
ENSG00000029153.14	ARNTL2	103	4.634728988229636	15
ENSG00000029534.20	ANK1	15	2.70805020110221	9
ENSG00000029559.6	IBSP	10	2.302585092994046	7
ENSG00000029639.10	TFB1M	48	3.871201010907891	13
ENSG00000031081.10	ARHGAP31	90	4.499809670330265	15
ENSG00000031691.6	CENPQ	62	4.127134385045092	14
ENSG00000032742.17	IFT88	135	4.90527477843843	16
ENSG00000033122.18	LRRC7	19	2.9444389791664403	10
ENSG00000034533.11	ASTE1	90	4.499809670330265	15
ENSG00000034693.14	PEX3	144	4.969813299576001	17
ENSG00000034971.16	MYOC	4	1.3862943611198906	4
ENSG00000035499.12	DEPDC1B	182	5.204006687076795	17
ENSG00000036530.8	CYP46A1	24	3.1780538303479458	10
ENSG00000036672.15	USP2	122	4.804021044733257	16
ENSG00000037042.8	TUBG2	170	5.135798437050262	17
ENSG00000037280.15	FLT4	45	3.8066624897703196	13
ENSG00000037965.5	HOXC8	5	1.6094379124341003	5
ENSG00000038002.8	AGA	184	5.214935757608986	17
ENSG00000038210.12	PI4K2B	181	5.198497031265826	17
ENSG00000039600.10	SOX30	21	3.044522437723423	10
ENSG00000040531.14	CTNS	144	4.969813299576001	17
ENSG00000040608.13	RTN4R	131	4.875197323201151	16
ENSG00000041353.9	RAB27B	24	3.1780538303479458	10
ENSG00000041982.15	TNC	22	3.091042453358316	10
ENSG00000041988.15	THAP3	100	4.605170185988092	15
ENSG00000042062.11	RIPOR3	6	1.791759469228055	6
ENSG00000042286.14	AIFM2	134	4.897839799950911	16
ENSG00000042317.16	SPATA7	42	3.7376696182833684	12
ENSG00000042781.12	USH2A	54	3.9889840465642745	13
ENSG00000042832.11	TG	30	3.4011973816621555	11
ENSG00000042980.12	ADAM28	62	4.127134385045092	14
ENSG00000043039.6	BARX2	33	3.4965075614664802	11
ENSG00000043462.11	LCP2	41	3.713572066704308	12
ENSG00000044459.14	CNTLN	130	4.867534450455582	16
ENSG00000046647.13	GEMIN8	79	4.3694478524670215	14
ENSG00000046653.14	GPM6B	15	2.70805020110221	9
ENSG00000047230.14	CTPS2	129	4.859812404361672	16
ENSG00000047365.11	ARAP2	178	5.181783550292085	17
ENSG00000047579.19	DTNBP1	170	5.135798437050262	17
ENSG00000047597.6	XK	43	3.7612001156935624	12
ENSG00000047617.14	ANO2	25	3.2188758248682006	11
ENSG00000047621.11	C12orf4	152	5.0238805208462765	17
ENSG00000047634.14	SCML1	157	5.056245805348308	17
ENSG00000047648.21	ARHGAP6	14	2.6390573296152584	9
ENSG00000047662.4	FAM184B	16	2.772588722239781	9
ENSG00000048342.15	CC2D2A	53	3.970291913552122	13
ENSG00000048540.14	LMO3	83	4.418840607796598	15
ENSG00000048740.18	CELF2	70	4.248495242049359	14
ENSG00000049130.15	KITLG	35	3.5553480614894135	12
ENSG00000049167.14	ERCC8	77	4.343805421853684	14
ENSG00000049247.13	UTS2	5	1.6094379124341003	5
ENSG00000049249.8	TNFRSF9	8	2.0794415416798357	7
ENSG00000049540.16	ELN	44	3.784189633918261	12
ENSG00000049759.17	NEDD4L	153	5.030437921392435	17
ENSG00000049768.14	FOXP3	4	1.3862943611198906	4
ENSG00000049769.12	PPP1R3F	24	3.1780538303479458	10
ENSG00000049883.14	PTCD2	89	4.48863636973214	15
ENSG00000050030.14	NEXMIF	5	1.6094379124341003	5
ENSG00000050165.17	DKK3	128	4.852030263919617	16
ENSG00000050344.8	NFE2L3	104	4.6443908991413725	15
ENSG00000050438.16	SLC4A8	143	4.962844630259907	17
ENSG00000050555.17	LAMC3	10	2.302585092994046	7
ENSG00000050628.20	PTGER3	100	4.605170185988092	15
ENSG00000051180.16	RAD51	16	2.772588722239781	9
ENSG00000051341.13	POLQ	71	4.2626798770413155	14
ENSG00000053438.9	NNAT	7	1.9459101490553132	6
ENSG00000053524.12	MCF2L2	6	1.791759469228055	6
ENSG00000053702.14	NRIP2	48	3.871201010907891	13
ENSG00000053918.16	KCNQ1	23	3.1354942159291497	10
ENSG00000054219.10	LY75	78	4.356708826689592	14
ENSG00000054277.13	OPN3	163	5.093750200806762	17
ENSG00000054356.13	PTPRN	5	1.6094379124341003	5
ENSG00000054392.12	HHAT	37	3.6109179126442243	12
ENSG00000055813.5	CCDC85A	17	2.833213344056216	9
ENSG00000055955.15	ITIH4	6	1.791759469228055	6
ENSG00000056050.6	HPF1	125	4.8283137373023015	16
ENSG00000056277.15	ZNF280C	54	3.9889840465642745	13
ENSG00000056558.10	TRAF1	31	3.4339872044851463	11
ENSG00000056736.9	IL17RB	105	4.653960350157523	15
ENSG00000056972.18	TRAF3IP2	188	5.236441962829949	17
ENSG00000056998.19	GYG2	32	3.4657359027997265	11
ENSG00000057468.6	MSH4	17	2.833213344056216	9
ENSG00000057657.16	PRDM1	7	1.9459101490553132	6
ENSG00000058335.15	RASGRF1	8	2.0794415416798357	7
ENSG00000058404.19	CAMK2B	17	2.833213344056216	9
ENSG00000058673.16	ZC3H11A	116	4.7535901911063645	16
ENSG00000058799.14	YIPF1	134	4.897839799950911	16
ENSG00000058866.14	DGKG	18	2.8903717578961645	9
ENSG00000059377.16	TBXAS1	29	3.367295829986474	11
ENSG00000059691.11	GATB	123	4.812184355372417	16
ENSG00000059769.19	DNAJC25	125	4.8283137373023015	16
ENSG00000059915.16	PSD	53	3.970291913552122	13
ENSG00000060069.16	CTDP1	186	5.225746673713202	17
ENSG00000060140.8	STYK1	12	2.4849066497880004	8
ENSG00000060558.3	GNA15	33	3.4965075614664802	11
ENSG00000060642.10	PIGV	122	4.804021044733257	16
ENSG00000060718.21	COL11A1	23	3.1354942159291497	10
ENSG00000061455.10	PRDM6	19	2.9444389791664403	10
ENSG00000061656.9	SPAG4	159	5.0689042022202315	17
ENSG00000061918.12	GUCY1B1	142	4.955827057601261	16
ENSG00000062282.14	DGAT2	76	4.330733340286331	14
ENSG00000062370.16	ZNF112	44	3.784189633918261	12
ENSG00000062582.13	MRPS24	162	5.087596335232384	17
ENSG00000063180.8	CA11	123	4.812184355372417	16
ENSG00000063438.16	AHRR	6	1.791759469228055	6
ENSG00000063761.15	ADCK1	149	5.003946305945459	17
ENSG00000064195.7	DLX3	72	4.276666119016055	14
ENSG00000064199.6	SPA17	87	4.465908118654584	15
ENSG00000064205.10	WISP2	11	2.3978952727983707	8
ENSG00000064270.12	ATP2C2	56	4.02535169073515	13
ENSG00000064300.8	NGFR	41	3.713572066704308	12
ENSG00000064692.18	SNCAIP	43	3.7612001156935624	12
ENSG00000064763.10	FAR2	6	1.791759469228055	6
ENSG00000064787.13	BCAS1	10	2.302585092994046	7
ENSG00000065325.12	GLP2R	7	1.9459101490553132	6
ENSG00000065328.16	MCM10	77	4.343805421853684	14
ENSG00000065413.19	ANKRD44	66	4.189654742026425	14
ENSG00000065457.10	ADAT1	188	5.236441962829949	17
ENSG00000065600.12	TMEM206	118	4.770684624465665	16
ENSG00000065609.14	SNAP91	4	1.3862943611198906	4
ENSG00000065615.13	CYB5R4	104	4.6443908991413725	15
ENSG00000065618.19	COL17A1	15	2.70805020110221	9
ENSG00000065665.20	SEC61A2	150	5.0106352940962555	17
ENSG00000065675.14	PRKCQ	72	4.276666119016055	14
ENSG00000065833.8	ME1	180	5.19295685089021	17
ENSG00000065923.9	SLC9A7	169	5.1298987149230735	17
ENSG00000065989.15	PDE4A	156	5.049856007249537	17
ENSG00000066032.18	CTNNA2	61	4.110873864173311	14
ENSG00000066056.13	TIE1	177	5.176149732573829	17
ENSG00000066185.12	ZMYND12	8	2.0794415416798357	7
ENSG00000066230.11	SLC9A3	95	4.553876891600541	15
ENSG00000066294.14	CD84	79	4.3694478524670215	14
ENSG00000066336.11	SPI1	71	4.2626798770413155	14
ENSG00000066382.16	MPPED2	6	1.791759469228055	6
ENSG00000066583.11	ISOC1	159	5.0689042022202315	17
ENSG00000066697.14	MSANTD3	105	4.653960350157523	15
ENSG00000066735.14	KIF26A	98	4.584967478670572	15
ENSG00000066923.17	STAG3	55	4.007333185232471	13
ENSG00000066926.10	FECH	96	4.564348191467836	15
ENSG00000067113.16	PLPP1	62	4.127134385045092	14
ENSG00000067177.14	PHKA1	90	4.499809670330265	15
ENSG00000067191.15	CACNB1	94	4.543294782270004	15
ENSG00000067221.13	STOML1	130	4.867534450455582	16
ENSG00000067445.20	TRO	140	4.941642422609304	16
ENSG00000067601.7	PMS2P4	40	3.6888794541139363	12
ENSG00000067715.13	SYT1	140	4.941642422609304	16
ENSG00000067840.12	PDZD4	32	3.4657359027997265	11
ENSG00000067992.13	PDK3	39	3.6635616461296463	12
ENSG00000068079.7	IFI35	151	5.017279836814924	17
ENSG00000068489.12	PRR11	180	5.19295685089021	17
ENSG00000068615.18	REEP1	24	3.1780538303479458	10
ENSG00000068784.12	SRBD1	130	4.867534450455582	16
ENSG00000068831.18	RASGRP2	5	1.6094379124341003	5
ENSG00000069011.15	PITX1	45	3.8066624897703196	13
ENSG00000069020.18	MAST4	96	4.564348191467836	15
ENSG00000069122.18	ADGRF5	4	1.3862943611198906	4
ENSG00000069188.16	SDK2	4	1.3862943611198906	4
ENSG00000069482.6	GAL	13	2.5649493574615367	8
ENSG00000069493.14	CLEC2D	115	4.74493212836325	16
ENSG00000069509.5	FUNDC1	77	4.343805421853684	14
ENSG00000069535.13	MAOB	88	4.477336814478207	15
ENSG00000069667.15	RORA	120	4.787491742782046	16
ENSG00000069812.11	HES2	108	4.68213122712422	16
ENSG00000069869.16	NEDD4	11	2.3978952727983707	8
ENSG00000069943.9	PIGB	65	4.174387269895637	14
ENSG00000069966.18	GNB5	153	5.030437921392435	17
ENSG00000069974.15	RAB27A	91	4.51085950651685	15
ENSG00000070190.12	DAPP1	55	4.007333185232471	13
ENSG00000070388.11	FGF22	7	1.9459101490553132	6
ENSG00000070495.14	JMJD6	177	5.176149732573829	17
ENSG00000070526.14	ST6GALNAC1	91	4.51085950651685	15
ENSG00000070601.9	FRMPD1	105	4.653960350157523	15
ENSG00000070669.16	ASNS	62	4.127134385045092	14
ENSG00000070729.13	CNGB1	13	2.5649493574615367	8
ENSG00000070731.10	ST6GALNAC2	181	5.198497031265826	17
ENSG00000070759.16	TESK2	98	4.584967478670572	15
ENSG00000070985.13	TRPM5	5	1.6094379124341003	5
ENSG00000071205.11	ARHGAP10	114	4.736198448394496	16
ENSG00000071246.10	VASH1	95	4.553876891600541	15
ENSG00000071282.11	LMCD1	185	5.220355825078324	17
ENSG00000071909.18	MYO3B	171	5.14166355650266	17
ENSG00000072163.19	LIMS2	88	4.477336814478207	15
ENSG00000072201.13	LNX1	131	4.875197323201151	16
ENSG00000072422.16	RHOBTB1	40	3.6888794541139363	12
ENSG00000072694.20	FCGR2B	14	2.6390573296152584	9
ENSG00000072818.11	ACAP1	19	2.9444389791664403	10
ENSG00000072832.14	CRMP1	12	2.4849066497880004	8
ENSG00000072840.12	EVC	83	4.418840607796598	15
ENSG00000072864.14	NDE1	128	4.852030263919617	16
ENSG00000072954.6	TMEM38A	51	3.9318256327243257	13
ENSG00000073067.13	CYP2W1	4	1.3862943611198906	4
ENSG00000073146.15	MOV10L1	16	2.772588722239781	9
ENSG00000073150.13	PANX2	18	2.8903717578961645	9
ENSG00000073282.12	TP63	10	2.302585092994046	7
ENSG00000073464.11	CLCN4	174	5.159055299214529	17
ENSG00000073536.17	NLE1	103	4.634728988229636	15
ENSG00000073605.18	GSDMB	90	4.499809670330265	15
ENSG00000073670.13	ADAM11	20	2.995732273553991	10
ENSG00000073711.10	PPP2R3A	158	5.062595033026967	17
ENSG00000073734.9	ABCB11	7	1.9459101490553132	6
ENSG00000073756.11	PTGS2	9	2.1972245773362196	7
ENSG00000073905.8	VDAC1P1	4	1.3862943611198906	4
ENSG00000073910.21	FRY	132	4.882801922586371	16
ENSG00000074047.21	GLI2	103	4.634728988229636	15
ENSG00000074211.13	PPP2R2C	12	2.4849066497880004	8
ENSG00000074219.13	TEAD2	180	5.19295685089021	17
ENSG00000074317.10	SNCB	53	3.970291913552122	13
ENSG00000074370.17	ATP2A3	99	4.59511985013459	15
ENSG00000074416.14	MGLL	168	5.123963979403259	17
ENSG00000074590.13	NUAK1	83	4.418840607796598	15
