Ensembl Gene Record	Common Gene Name	Read Count	Log Count	Dist
ENSG00000000457.13	SCYL3	170	5.135798437050262	16
ENSG00000000460.16	C1orf112	227	5.424950017481403	17
ENSG00000000938.12	FGR	44	3.784189633918261	12
ENSG00000001460.17	STPG1	173	5.153291594497779	16
ENSG00000001626.15	CFTR	27	3.295836866004329	10
ENSG00000002587.9	HS3ST1	62	4.127134385045092	13
ENSG00000002726.20	AOC1	194	5.267858159063328	17
ENSG00000002746.14	HECW1	8	2.0794415416798357	6
ENSG00000002919.14	SNX11	152	5.0238805208462765	16
ENSG00000002933.8	TMEM176A	28	3.332204510175204	10
ENSG00000003096.14	KLHL13	55	4.007333185232471	12
ENSG00000003137.8	CYP26B1	124	4.820281565605037	15
ENSG00000003147.18	ICA1	204	5.318119993844216	17
ENSG00000003249.13	DBNDD1	163	5.093750200806762	16
ENSG00000003436.15	TFPI	24	3.1780538303479458	10
ENSG00000003509.15	NDUFAF7	243	5.493061443340548	17
ENSG00000003987.13	MTMR7	16	2.772588722239781	8
ENSG00000004468.12	CD38	8	2.0794415416798357	6
ENSG00000004660.14	CAMKK1	81	4.394449154672439	14
ENSG00000004777.18	ARHGAP33	156	5.049856007249537	16
ENSG00000004799.7	PDK4	193	5.262690188904886	16
ENSG00000004838.13	ZMYND10	54	3.9889840465642745	12
ENSG00000005059.15	MCUB	140	4.941642422609304	15
ENSG00000005108.15	THSD7A	94	4.543294782270004	14
ENSG00000005189.19	REXO5	134	4.897839799950911	15
ENSG00000005238.19	FAM214B	215	5.3706380281276624	17
ENSG00000005243.9	COPZ2	17	2.833213344056216	9
ENSG00000005249.12	PRKAR2B	192	5.2574953720277815	16
ENSG00000005379.16	TSPOAP1	88	4.477336814478207	14
ENSG00000005421.8	PON1	112	4.718498871295094	15
ENSG00000005448.16	WDR54	126	4.836281906951478	15
ENSG00000005469.11	CROT	96	4.564348191467836	14
ENSG00000005471.17	ABCB4	4	1.3862943611198906	4
ENSG00000005844.17	ITGAL	19	2.9444389791664403	9
ENSG00000005961.18	ITGA2B	66	4.189654742026425	13
ENSG00000006016.10	CRLF1	62	4.127134385045092	13
ENSG00000006025.11	OSBPL7	184	5.214935757608986	16
ENSG00000006042.11	TMEM98	17	2.833213344056216	9
ENSG00000006071.13	ABCC8	5	1.6094379124341003	5
ENSG00000006210.6	CX3CL1	174	5.159055299214529	16
ENSG00000006377.10	DLX6	92	4.5217885770490405	14
ENSG00000006555.10	TTC22	121	4.795790545596741	15
ENSG00000006606.8	CCL26	7	1.9459101490553132	6
ENSG00000006638.11	TBXA2R	5	1.6094379124341003	5
ENSG00000006695.10	COX10	169	5.1298987149230735	16
ENSG00000006740.16	ARHGAP44	108	4.68213122712422	15
ENSG00000006757.11	PNPLA4	233	5.4510384535657	17
ENSG00000006837.11	CDKL3	14	2.6390573296152584	8
ENSG00000007237.18	GAS7	61	4.110873864173311	13
ENSG00000007255.10	TRAPPC6A	153	5.030437921392435	16
ENSG00000007264.14	MATK	30	3.4011973816621555	10
ENSG00000007314.12	SCN4A	5	1.6094379124341003	5
ENSG00000007341.18	ST7L	233	5.4510384535657	17
ENSG00000007350.16	TKTL1	8	2.0794415416798357	6
ENSG00000007384.15	RHBDF1	204	5.318119993844216	17
ENSG00000007402.11	CACNA2D2	21	3.044522437723423	9
ENSG00000007516.13	BAIAP3	81	4.394449154672439	14
ENSG00000007866.20	TEAD3	257	5.54907608489522	17
ENSG00000008056.13	SYN1	6	1.791759469228055	5
ENSG00000008086.11	CDKL5	151	5.017279836814924	16
ENSG00000008226.19	DLEC1	36	3.58351893845611	11
ENSG00000008277.14	ADAM22	71	4.2626798770413155	13
ENSG00000008300.16	CELSR3	50	3.912023005428146	12
ENSG00000008311.14	AASS	85	4.442651256490317	14
ENSG00000008382.15	MPND	232	5.44673737166631	17
ENSG00000008516.16	MMP25	26	3.258096538021482	10
ENSG00000008517.16	IL32	88	4.477336814478207	14
ENSG00000008735.13	MAPK8IP2	111	4.709530201312334	15
ENSG00000009413.15	REV3L	231	5.442417710521793	17
ENSG00000009724.16	MASP2	7	1.9459101490553132	6
ENSG00000009780.15	FAM76A	241	5.484796933490655	17
ENSG00000009790.14	TRAF3IP3	12	2.4849066497880004	8
ENSG00000009950.15	MLXIPL	198	5.288267030694535	17
ENSG00000010219.13	DYRK4	246	5.5053315359323625	17
ENSG00000010295.19	IFFO1	22	3.091042453358316	9
ENSG00000010310.8	GIPR	33	3.4965075614664802	11
ENSG00000010318.20	PHF7	120	4.787491742782046	15
ENSG00000010319.6	SEMA3G	42	3.7376696182833684	12
ENSG00000010361.13	FUZ	93	4.532599493153256	14
ENSG00000010379.15	SLC6A13	7	1.9459101490553132	6
ENSG00000010610.9	CD4	175	5.1647859739235145	16
ENSG00000010626.14	LRRC23	108	4.68213122712422	15
ENSG00000010671.15	BTK	18	2.8903717578961645	9
ENSG00000010704.18	HFE	16	2.772588722239781	8
ENSG00000010810.17	FYN	57	4.04305126783455	13
ENSG00000010818.9	HIVEP2	232	5.44673737166631	17
ENSG00000011052.21	NME1-NME2	31	3.4339872044851463	11
ENSG00000011132.11	APBA3	110	4.700480365792417	15
ENSG00000011201.11	ANOS1	74	4.30406509320417	13
ENSG00000011332.19	DPF1	30	3.4011973816621555	10
ENSG00000011422.11	PLAUR	94	4.543294782270004	14
ENSG00000011478.11	QPCTL	123	4.812184355372417	15
ENSG00000011600.11	TYROBP	130	4.867534450455582	15
ENSG00000011638.10	TMEM159	116	4.7535901911063645	15
ENSG00000011677.12	GABRA3	77	4.343805421853684	14
ENSG00000012124.16	CD22	47	3.8501476017100584	12
ENSG00000012223.12	LTF	56	4.02535169073515	12
ENSG00000012779.10	ALOX5	155	5.043425116919247	16
ENSG00000013297.11	CLDN11	19	2.9444389791664403	9
ENSG00000013392.7	RWDD2A	118	4.770684624465665	15
ENSG00000013725.14	CD6	9	2.1972245773362196	7
ENSG00000014138.8	POLA2	219	5.389071729816501	17
ENSG00000014257.15	ACPP	42	3.7376696182833684	12
ENSG00000014914.20	MTMR11	33	3.4965075614664802	11
ENSG00000015285.10	WAS	85	4.442651256490317	14
ENSG00000015413.9	DPEP1	28	3.332204510175204	10
ENSG00000015475.18	BID	158	5.062595033026967	16
ENSG00000015520.14	NPC1L1	15	2.70805020110221	8
ENSG00000016082.14	ISL1	65	4.174387269895637	13
ENSG00000016402.13	IL20RA	12	2.4849066497880004	8
ENSG00000017427.16	IGF1	191	5.25227342804663	16
ENSG00000017483.14	SLC38A5	8	2.0794415416798357	6
ENSG00000018189.12	RUFY3	250	5.521460917862246	17
ENSG00000018236.14	CNTN1	7	1.9459101490553132	6
ENSG00000018280.16	SLC11A1	6	1.791759469228055	5
ENSG00000018869.16	ZNF582	4	1.3862943611198906	4
ENSG00000019169.10	MARCO	34	3.5263605246161616	11
ENSG00000019485.13	PRDM11	117	4.762173934797756	15
ENSG00000020181.17	ADGRA2	49	3.8918202981106265	12
ENSG00000021488.12	SLC7A9	5	1.6094379124341003	5
ENSG00000021645.18	NRXN3	62	4.127134385045092	13
ENSG00000021762.19	OSBPL5	205	5.3230099791384085	17
ENSG00000021826.15	CPS1	13	2.5649493574615367	8
ENSG00000023171.17	GRAMD1B	60	4.0943445622221	13
ENSG00000023572.9	GLRX2	241	5.484796933490655	17
ENSG00000023608.4	SNAPC1	203	5.313205979041787	17
ENSG00000023839.11	ABCC2	22	3.091042453358316	9
ENSG00000023892.10	DEF6	17	2.833213344056216	9
ENSG00000023902.13	PLEKHO1	130	4.867534450455582	15
ENSG00000024422.11	EHD2	61	4.110873864173311	13
ENSG00000024862.17	CCDC28A	92	4.5217885770490405	14
ENSG00000025156.12	HSF2	208	5.337538079701318	17
ENSG00000025423.11	HSD17B6	5	1.6094379124341003	5
ENSG00000025434.18	NR1H3	157	5.056245805348308	16
ENSG00000025708.13	TYMP	151	5.017279836814924	16
ENSG00000026103.21	FAS	180	5.19295685089021	16
ENSG00000026297.15	RNASET2	224	5.4116460518550396	17
ENSG00000026652.13	AGPAT4	196	5.278114659230517	17
ENSG00000026751.16	SLAMF7	20	2.995732273553991	9
ENSG00000026950.16	BTN3A1	105	4.653960350157523	15
ENSG00000027001.9	MIPEP	195	5.272999558563747	17
ENSG00000027847.13	B4GALT7	253	5.53338948872752	17
ENSG00000027869.11	SH2D2A	21	3.044522437723423	9
ENSG00000028137.18	TNFRSF1B	86	4.454347296253507	14
ENSG00000028277.21	POU2F2	9	2.1972245773362196	7
ENSG00000028839.9	TBPL1	177	5.176149732573829	16
ENSG00000029153.14	ARNTL2	254	5.537334267018537	17
ENSG00000029534.20	ANK1	197	5.2832037287379885	17
ENSG00000029559.6	IBSP	9	2.1972245773362196	7
ENSG00000029639.10	TFB1M	151	5.017279836814924	16
ENSG00000031081.10	ARHGAP31	15	2.70805020110221	8
ENSG00000031691.6	CENPQ	140	4.941642422609304	15
ENSG00000032742.17	IFT88	72	4.276666119016055	13
ENSG00000033050.8	ABCF2	211	5.351858133476067	17
ENSG00000033100.16	CHPF2	191	5.25227342804663	16
ENSG00000034239.10	EFCAB1	50	3.912023005428146	12
ENSG00000034533.11	ASTE1	121	4.795790545596741	15
ENSG00000034693.14	PEX3	187	5.231108616854587	16
ENSG00000035664.11	DAPK2	181	5.198497031265826	16
ENSG00000036530.8	CYP46A1	14	2.6390573296152584	8
ENSG00000036672.15	USP2	29	3.367295829986474	10
ENSG00000037280.15	FLT4	18	2.8903717578961645	9
ENSG00000037749.12	MFAP3	250	5.521460917862246	17
ENSG00000037897.16	METTL1	222	5.402677381872279	17
ENSG00000038002.8	AGA	61	4.110873864173311	13
ENSG00000038427.15	VCAN	6	1.791759469228055	5
ENSG00000038945.14	MSR1	76	4.330733340286331	13
ENSG00000039139.9	DNAH5	17	2.833213344056216	9
ENSG00000040199.18	PHLPP2	263	5.572154032177765	17
ENSG00000040531.14	CTNS	182	5.204006687076795	16
ENSG00000040608.13	RTN4R	110	4.700480365792417	15
ENSG00000041353.9	RAB27B	158	5.062595033026967	16
ENSG00000041515.15	MYO16	13	2.5649493574615367	8
ENSG00000041982.15	TNC	34	3.5263605246161616	11
ENSG00000041988.15	THAP3	255	5.541263545158426	17
ENSG00000042317.16	SPATA7	76	4.330733340286331	13
ENSG00000042781.12	USH2A	24	3.1780538303479458	10
ENSG00000042832.11	TG	18	2.8903717578961645	9
ENSG00000043039.6	BARX2	28	3.332204510175204	10
ENSG00000043462.11	LCP2	17	2.833213344056216	9
ENSG00000044459.14	CNTLN	239	5.476463551931511	17
ENSG00000046647.13	GEMIN8	175	5.1647859739235145	16
ENSG00000046653.14	GPM6B	55	4.007333185232471	12
ENSG00000047056.15	WDR37	245	5.501258210544727	17
ENSG00000047597.6	XK	70	4.248495242049359	13
ENSG00000047617.14	ANO2	41	3.713572066704308	11
ENSG00000047648.21	ARHGAP6	53	3.970291913552122	12
ENSG00000047662.4	FAM184B	44	3.784189633918261	12
ENSG00000048342.15	CC2D2A	224	5.4116460518550396	17
ENSG00000048405.9	ZNF800	129	4.859812404361672	15
ENSG00000048471.13	SNX29	83	4.418840607796598	14
ENSG00000048540.14	LMO3	70	4.248495242049359	13
ENSG00000048740.18	CELF2	142	4.955827057601261	16
ENSG00000049130.15	KITLG	182	5.204006687076795	16
ENSG00000049167.14	ERCC8	113	4.727387818712341	15
ENSG00000049192.14	ADAMTS6	10	2.302585092994046	7
ENSG00000049247.13	UTS2	4	1.3862943611198906	4
ENSG00000049249.8	TNFRSF9	15	2.70805020110221	8
ENSG00000049768.14	FOXP3	19	2.9444389791664403	9
ENSG00000049769.12	PPP1R3F	115	4.74493212836325	15
ENSG00000050030.14	NEXMIF	11	2.3978952727983707	7
ENSG00000050165.17	DKK3	161	5.081404364984463	16
ENSG00000050327.14	ARHGEF5	169	5.1298987149230735	16
ENSG00000050344.8	NFE2L3	78	4.356708826689592	14
ENSG00000050438.16	SLC4A8	88	4.477336814478207	14
ENSG00000050628.20	PTGER3	33	3.4965075614664802	11
ENSG00000050730.15	TNIP3	12	2.4849066497880004	8
ENSG00000050767.16	COL23A1	4	1.3862943611198906	4
ENSG00000051128.18	HOMER3	260	5.560681631015528	17
ENSG00000051180.16	RAD51	48	3.871201010907891	12
ENSG00000052795.12	FNIP2	206	5.327876168789581	17
ENSG00000052850.6	ALX4	10	2.302585092994046	7
ENSG00000053108.16	FSTL4	5	1.6094379124341003	5
ENSG00000053438.9	NNAT	12	2.4849066497880004	8
ENSG00000053702.14	NRIP2	34	3.5263605246161616	11
ENSG00000054179.11	ENTPD2	52	3.9512437185814275	12
ENSG00000054277.13	OPN3	52	3.9512437185814275	12
ENSG00000054392.12	HHAT	145	4.976733742420574	16
ENSG00000054983.16	GALC	232	5.44673737166631	17
ENSG00000055118.14	KCNH2	159	5.0689042022202315	16
ENSG00000055147.18	FAM114A2	203	5.313205979041787	17
ENSG00000055813.5	CCDC85A	7	1.9459101490553132	6
ENSG00000056050.6	HPF1	205	5.3230099791384085	17
ENSG00000056277.15	ZNF280C	132	4.882801922586371	15
ENSG00000056558.10	TRAF1	54	3.9889840465642745	12
ENSG00000056736.9	IL17RB	78	4.356708826689592	14
ENSG00000056972.18	TRAF3IP2	141	4.948759890378168	15
ENSG00000056998.19	GYG2	251	5.5254529391317835	17
ENSG00000057704.12	TMCC3	32	3.4657359027997265	11
ENSG00000058056.8	USP13	225	5.41610040220442	17
ENSG00000058091.16	CDK14	246	5.5053315359323625	17
ENSG00000058335.15	RASGRF1	15	2.70805020110221	8
ENSG00000058404.19	CAMK2B	53	3.970291913552122	12
ENSG00000058673.16	ZC3H11A	99	4.59511985013459	14
ENSG00000058799.14	YIPF1	228	5.429345628954441	17
ENSG00000058866.14	DGKG	27	3.295836866004329	10
ENSG00000059145.18	UNKL	246	5.5053315359323625	17
ENSG00000059377.16	TBXAS1	33	3.4965075614664802	11
ENSG00000059378.12	PARP12	242	5.488937726156687	17
ENSG00000059691.11	GATB	224	5.4116460518550396	17
ENSG00000059769.19	DNAJC25	177	5.176149732573829	16
ENSG00000059915.16	PSD	22	3.091042453358316	9
ENSG00000060069.16	CTDP1	260	5.560681631015528	17
ENSG00000060140.8	STYK1	94	4.543294782270004	14
ENSG00000060558.3	GNA15	24	3.1780538303479458	10
ENSG00000060642.10	PIGV	177	5.176149732573829	16
ENSG00000060709.15	RIMBP2	12	2.4849066497880004	8
ENSG00000061337.15	LZTS1	4	1.3862943611198906	4
ENSG00000061455.10	PRDM6	74	4.30406509320417	13
ENSG00000061656.9	SPAG4	41	3.713572066704308	11
ENSG00000061918.12	GUCY1B1	233	5.4510384535657	17
ENSG00000062038.13	CDH3	251	5.5254529391317835	17
ENSG00000062282.14	DGAT2	81	4.394449154672439	14
ENSG00000062370.16	ZNF112	25	3.2188758248682006	10
ENSG00000062524.15	LTK	5	1.6094379124341003	5
ENSG00000063127.15	SLC6A16	6	1.791759469228055	5
ENSG00000063169.10	BICRA	231	5.442417710521793	17
ENSG00000063176.15	SPHK2	116	4.7535901911063645	15
ENSG00000063180.8	CA11	56	4.02535169073515	12
ENSG00000063245.14	EPN1	102	4.624972813284271	14
ENSG00000063438.16	AHRR	15	2.70805020110221	8
ENSG00000063761.15	ADCK1	160	5.075173815233827	16
ENSG00000064195.7	DLX3	9	2.1972245773362196	7
ENSG00000064199.6	SPA17	136	4.912654885736052	15
ENSG00000064201.15	TSPAN32	27	3.295836866004329	10
ENSG00000064218.4	DMRT3	15	2.70805020110221	8
ENSG00000064225.12	ST3GAL6	230	5.438079308923196	17
ENSG00000064270.12	ATP2C2	118	4.770684624465665	15
ENSG00000064309.14	CDON	254	5.537334267018537	17
ENSG00000064489.22	BORCS8-MEF2B	27	3.295836866004329	10
ENSG00000064763.10	FAR2	16	2.772588722239781	8
ENSG00000064989.12	CALCRL	154	5.0369526024136295	16
ENSG00000065357.19	DGKA	234	5.455321115357702	17
ENSG00000065413.19	ANKRD44	74	4.30406509320417	13
ENSG00000065457.10	ADAT1	157	5.056245805348308	16
ENSG00000065491.8	TBC1D22B	140	4.941642422609304	15
ENSG00000065534.18	MYLK	93	4.532599493153256	14
ENSG00000065600.12	TMEM206	192	5.2574953720277815	16
ENSG00000065615.13	CYB5R4	157	5.056245805348308	16
ENSG00000065618.19	COL17A1	12	2.4849066497880004	8
ENSG00000065665.20	SEC61A2	192	5.2574953720277815	16
ENSG00000065675.14	PRKCQ	20	2.995732273553991	9
ENSG00000065717.14	TLE2	61	4.110873864173311	13
ENSG00000065833.8	ME1	50	3.912023005428146	12
ENSG00000065989.15	PDE4A	189	5.241747015059643	16
ENSG00000066032.18	CTNNA2	6	1.791759469228055	5
ENSG00000066056.13	TIE1	5	1.6094379124341003	5
ENSG00000066185.12	ZMYND12	10	2.302585092994046	7
ENSG00000066230.11	SLC9A3	84	4.430816798843313	14
ENSG00000066248.14	NGEF	84	4.430816798843313	14
ENSG00000066294.14	CD84	103	4.634728988229636	14
ENSG00000066336.11	SPI1	104	4.6443908991413725	14
ENSG00000066379.14	ZNRD1	143	4.962844630259907	16
ENSG00000066382.16	MPPED2	146	4.983606621708336	16
ENSG00000066468.22	FGFR2	79	4.3694478524670215	14
ENSG00000066629.17	EML1	36	3.58351893845611	11
ENSG00000066651.19	TRMT11	238	5.472270673671475	17
ENSG00000066735.14	KIF26A	8	2.0794415416798357	6
ENSG00000066923.17	STAG3	18	2.8903717578961645	9
ENSG00000067113.16	PLPP1	96	4.564348191467836	14
ENSG00000067221.13	STOML1	83	4.418840607796598	14
ENSG00000067365.14	METTL22	127	4.844187086458591	15
ENSG00000067445.20	TRO	118	4.770684624465665	15
ENSG00000067601.7	PMS2P4	26	3.258096538021482	10
ENSG00000067715.13	SYT1	133	4.890349128221754	15
ENSG00000067798.15	NAV3	54	3.9889840465642745	12
ENSG00000067836.12	ROGDI	220	5.393627546352362	17
ENSG00000067840.12	PDZD4	18	2.8903717578961645	9
ENSG00000067992.13	PDK3	105	4.653960350157523	15
ENSG00000068097.14	HEATR6	249	5.517452896464707	17
