Ensembl Gene Record	Common Gene Name	Read Count	Log Count	Dist
ENSG00000002079.14	MYH16	4	1.3862943611198906	4
ENSG00000006071.13	ABCC8	4	1.3862943611198906	4
ENSG00000007216.14	SLC13A2	4	1.3862943611198906	4
ENSG00000010379.15	SLC6A13	4	1.3862943611198906	4
ENSG00000015568.12	RGPD5	4	1.3862943611198906	4
ENSG00000017483.14	SLC38A5	4	1.3862943611198906	4
ENSG00000036473.7	OTC	4	1.3862943611198906	4
ENSG00000053438.9	NNAT	4	1.3862943611198906	4
ENSG00000057468.6	MSH4	4	1.3862943611198906	4
ENSG00000063127.15	SLC6A16	4	1.3862943611198906	4
ENSG00000073282.12	TP63	4	1.3862943611198906	4
ENSG00000073905.8	VDAC1P1	4	1.3862943611198906	4
ENSG00000075884.13	ARHGAP15	4	1.3862943611198906	4
ENSG00000081985.11	IL12RB2	4	1.3862943611198906	4
ENSG00000086205.17	FOLH1	4	1.3862943611198906	4
ENSG00000087250.8	MT3	4	1.3862943611198906	4
ENSG00000089558.8	KCNH4	4	1.3862943611198906	4
ENSG00000095932.6	SMIM24	4	1.3862943611198906	4
ENSG00000099985.3	OSM	4	1.3862943611198906	4
ENSG00000100218.11	RSPH14	4	1.3862943611198906	4
ENSG00000100298.15	APOBEC3H	4	1.3862943611198906	4
ENSG00000100351.16	GRAP2	4	1.3862943611198906	4
ENSG00000100427.15	MLC1	4	1.3862943611198906	4
ENSG00000100593.17	ISM2	4	1.3862943611198906	4
ENSG00000100884.9	CPNE6	4	1.3862943611198906	4
ENSG00000101331.15	CCM2L	4	1.3862943611198906	4
ENSG00000103313.12	MEFV	4	1.3862943611198906	4
ENSG00000104808.7	DHDH	4	1.3862943611198906	4
ENSG00000105672.14	ETV2	4	1.3862943611198906	4
ENSG00000105996.6	HOXA2	4	1.3862943611198906	4
ENSG00000106031.8	HOXA13	4	1.3862943611198906	4
ENSG00000106823.12	ECM2	4	1.3862943611198906	4
ENSG00000107796.13	ACTA2	4	1.3862943611198906	4
ENSG00000107821.14	KAZALD1	4	1.3862943611198906	4
ENSG00000107984.9	DKK1	4	1.3862943611198906	4
ENSG00000108176.14	DNAJC12	4	1.3862943611198906	4
ENSG00000109205.16	ODAM	4	1.3862943611198906	4
ENSG00000109758.8	HGFAC	4	1.3862943611198906	4
ENSG00000109943.8	CRTAM	4	1.3862943611198906	4
ENSG00000110076.18	NRXN2	4	1.3862943611198906	4
ENSG00000110427.15	KIAA1549L	4	1.3862943611198906	4
ENSG00000110811.19	P3H3	4	1.3862943611198906	4
ENSG00000112799.8	LY86	4	1.3862943611198906	4
ENSG00000113263.12	ITK	4	1.3862943611198906	4
ENSG00000114948.12	ADAM23	4	1.3862943611198906	4
ENSG00000115361.7	ACADL	4	1.3862943611198906	4
ENSG00000115602.16	IL1RL1	4	1.3862943611198906	4
ENSG00000117091.9	CD48	4	1.3862943611198906	4
ENSG00000120949.14	TNFRSF8	4	1.3862943611198906	4
ENSG00000121089.4	NACA3P	4	1.3862943611198906	4
ENSG00000121797.9	CCRL2	4	1.3862943611198906	4
ENSG00000121807.5	CCR2	4	1.3862943611198906	4
ENSG00000122025.14	FLT3	4	1.3862943611198906	4
ENSG00000122728.6	TAF1L	4	1.3862943611198906	4
ENSG00000122824.10	NUDT10	4	1.3862943611198906	4
ENSG00000122986.13	HVCN1	4	1.3862943611198906	4
ENSG00000123612.15	ACVR1C	4	1.3862943611198906	4
ENSG00000123685.8	BATF3	4	1.3862943611198906	4
ENSG00000124251.10	TP53TG5	4	1.3862943611198906	4
ENSG00000124256.14	ZBP1	4	1.3862943611198906	4
ENSG00000124713.5	GNMT	4	1.3862943611198906	4
ENSG00000124780.13	KCNK17	4	1.3862943611198906	4
ENSG00000125285.5	SOX21	4	1.3862943611198906	4
ENSG00000125780.11	TGM3	4	1.3862943611198906	4
